,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jan 2015-Dec 2015,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% with degree or equivalent and above - aged 16-64,Conf,Numerator,Denominator,% with higher education below degree level - aged 16-64,Conf,Numerator,Denominator,% with GCE A level or equivalent - aged 16-64,Conf,Numerator,Denominator,% with GCSE grades A-C or equivalent - aged 16-64,Conf,Numerator,Denominator,% with other qualifications (GCSE) - aged 16-64,Conf,Numerator,Denominator,% with no qualifications (GCSE) - aged 16-64,Conf
Derby,E06000015,38900,157100,24.8,2.9,12500,157100,7.9,1.8,36400,157100,23.1,2.8,37600,157100,23.9,2.8,18900,157100,12,2.2,12800,157100,8.1,1.8
Leicester,E06000016,51500,225000,22.9,2.5,14100,225000,6.2,1.4,48800,225000,21.7,2.4,42100,225000,18.7,2.3,39500,225000,17.5,2.3,29100,225000,13,2
Nottingham,E06000018,57600,213700,27,2.6,16900,213700,7.9,1.6,50300,213700,23.5,2.5,43500,213700,20.3,2.3,18700,213700,8.8,1.6,26700,213700,12.5,1.9
Rutland,E06000017,6100,20000,30.7,5.4,1900,20000,9.7,3.5,4500,20000,22.8,4.9,4900,20000,24.5,5.1,1800,20000,9,3.4,700,20000,3.4,2.1
Amber Valley,E07000032,21800,75900,28.7,6.9,5600,75900,7.4,4,16500,75900,21.7,6.3,20500,75900,27.1,6.7,6300,75900,8.3,4.2,5200,75900,6.9,3.8
Bolsover,E07000033,6000,47400,12.7,7.5,2500,47400,5.3,*,16900,47400,35.6,10.8,11000,47400,23.3,9.5,7300,47400,15.3,8.1,3700,47400,7.8,*
Chesterfield,E07000034,10000,61500,16.3,6.1,6100,61500,9.9,4.9,20100,61500,32.6,7.7,17400,61500,28.3,7.4,4700,61500,7.6,4.3,3200,61500,5.3,*
Derbyshire Dales,E07000035,12900,40100,32.3,8.9,4400,40100,10.9,5.9,10000,40100,25,8.2,8400,40100,20.9,7.7,2300,40100,5.9,*,2000,40100,5,*
Erewash,E07000036,17000,68600,24.8,7.7,7200,68600,10.5,5.4,18300,68600,26.7,7.9,14600,68600,21.3,7.3,4500,68600,6.5,*,7000,68600,10.2,5.4
High Peak,E07000037,19700,56900,34.6,7.6,5300,56900,9.2,4.7,14600,56900,25.6,7,11600,56900,20.3,6.5,1500,56900,2.6,*,4400,56900,7.7,4.3
North East Derbyshire,E07000038,13300,58900,22.6,7.3,5600,58900,9.5,5.1,18100,58900,30.7,8,14800,58900,25.2,7.5,4100,58900,7,*,2900,58900,5,*
South Derbyshire,E07000039,15200,61300,24.7,7.2,7000,61300,11.4,5.3,16300,61300,26.5,7.4,17600,61300,28.7,7.6,3400,61300,5.6,*,1800,61300,3,*
Blaby,E07000129,15700,59700,26.3,6.8,5800,59700,9.6,4.6,20000,59700,33.5,7.3,12900,59700,21.7,6.4,2800,59700,4.7,*,2500,59700,4.2,*
Charnwood,E07000130,32300,114700,28.2,5.3,9100,114700,7.9,3.2,36500,114700,31.8,5.5,21800,114700,19,4.7,11900,114700,10.4,3.6,3200,114700,2.7,*
Harborough,E07000131,13300,55000,24.2,6.8,6600,55000,12,5.2,15600,55000,28.3,7.2,11600,55000,21.1,6.5,4600,55000,8.3,4.4,3400,55000,6.2,3.8
Hinckley and Bosworth,E07000132,14400,64100,22.5,7.2,4600,64100,7.2,4.4,16700,64100,26.1,7.6,19400,64100,30.3,7.9,3700,64100,5.8,*,5300,64100,8.2,4.7
Melton,E07000133,5300,31000,17.1,7.4,3900,31000,12.6,6.6,9900,31000,31.9,9.2,6700,31000,21.5,8.1,4300,31000,13.7,6.8,1000,31000,3.2,*
North West Leicestershire,E07000134,16200,59700,27.2,6.7,6100,59700,10.2,4.5,14400,59700,24.1,6.4,13400,59700,22.4,6.3,4500,59700,7.5,4,5100,59700,8.6,4.2
Oadby and Wigston,E07000135,9200,33500,27.4,9.5,2300,33500,6.9,*,9800,33500,29.3,9.7,8900,33500,26.6,9.4,2200,33500,6.7,*,#,33500,3,*
Boston,E07000136,4500,39700,11.4,*,5200,39700,13.2,7.3,9600,39700,24.2,9.3,10800,39700,27.2,9.6,7900,39700,19.9,8.6,1600,39700,4.1,*
East Lindsey,E07000137,9400,70100,13.4,4.8,9100,70100,13,4.8,10800,70100,15.5,5.1,24500,70100,35,6.7,10200,70100,14.6,5,6000,70100,8.6,4
Lincoln,E07000138,11600,62700,18.5,7,5200,62700,8.3,5,14700,62700,23.5,7.6,17700,62700,28.3,8.1,6300,62700,10,5.4,7100,62700,11.3,5.7
North Kesteven,E07000139,14000,65600,21.3,6.7,4700,65600,7.2,4.3,19900,65600,30.3,7.6,17300,65600,26.4,7.2,6700,65600,10.3,5,3000,65600,4.5,*
