,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 2 April 2019],,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2015-Jun 2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (prior to April 2015),mnemonic,Numerator,Denominator,% who gave national identity as British,Conf,Numerator,Denominator,% who gave national identity as English,Conf,Numerator,Denominator,% who gave national identity as Irish,Conf,Numerator,Denominator,% who gave national identity as Other,Conf,Numerator,Denominator,% who gave national identity as Scottish,Conf,Numerator,Denominator,% who gave national identity as Welsh,Conf
Reigate and Banstead,E07000211,74800,141700,52.7,5.5,80600,141700,56.8,5.4,!,141700,!,!,12900,141700,9.1,3.2,!,141700,!,!,3000,141700,2.1,*
Runnymede,E07000212,31000,85600,36.2,6.9,46700,85600,54.5,7.1,!,85600,!,!,13100,85600,15.3,5.2,!,85600,!,!,#,85600,1.6,*
Spelthorne,E07000213,48600,98300,49.4,6.1,45500,98300,46.3,6.1,!,98300,!,!,15000,98300,15.3,4.4,!,98300,!,!,#,98300,1.8,*
Surrey Heath,E07000214,33400,86400,38.6,6.2,50700,86400,58.6,6.3,!,86400,!,!,6500,86400,7.5,3.3,!,86400,!,!,!,86400,!,!
Tandridge,E07000215,35700,84200,42.4,8,59500,84200,70.6,7.4,!,84200,!,!,5000,84200,5.9,3.8,!,84200,!,!,#,84200,3.4,*
Waverley,E07000216,54700,119600,45.7,6,78200,119600,65.4,5.8,!,119600,!,!,4900,119600,4.1,2.4,!,119600,!,!,3300,119600,2.7,*
Woking,E07000217,51700,98700,52.4,6.1,42300,98700,42.9,6,!,98700,!,!,7200,98700,7.3,3.2,1000,98700,1,*,2000,98700,2,*
Adur,E07000223,32600,63000,51.7,8,32600,63000,51.7,8,!,63000,!,!,2500,63000,3.9,*,!,63000,!,!,!,63000,!,!
Arun,E07000224,64000,152800,41.8,5.8,96400,152800,63.1,5.7,!,152800,!,!,4800,152800,3.2,2.1,!,152800,!,!,1500,152800,1,*
Chichester,E07000225,63800,114500,55.7,6.6,58600,114500,51.2,6.7,!,114500,!,!,4000,114500,3.5,*,!,114500,!,!,!,114500,!,!
Crawley,E07000226,50800,111000,45.8,7.1,58700,111000,52.9,7.2,!,111000,!,!,22000,111000,19.8,5.7,!,111000,!,!,!,111000,!,!
Horsham,E07000227,72400,133100,54.4,5.5,78700,133100,59.1,5.4,!,133100,!,!,7700,133100,5.8,2.6,#,133100,1.2,*,#,133100,1.3,*
Mid Sussex,E07000228,79900,143500,55.7,5,78200,143500,54.5,5,!,143500,!,!,7100,143500,4.9,2.2,2100,143500,1.5,*,1800,143500,1.3,*
Worthing,E07000229,50200,106300,47.3,6.4,57300,106300,53.9,6.4,!,106300,!,!,7400,106300,7,3.3,!,106300,!,!,!,106300,!,!
Bath and North East Somerset,E06000022,116600,181600,64.2,2.2,104100,181600,57.3,2.2,!,181600,!,!,14400,181600,7.9,1.2,1900,181600,1.1,0.5,4000,181600,2.2,0.7
Bournemouth,E06000028,65000,192700,33.7,2.4,121700,192700,63.2,2.5,!,192700,!,!,30500,192700,15.8,1.9,600,192700,0.3,*,1500,192700,0.8,0.4
"Bristol, City of",E06000023,179900,447200,40.2,2.7,275600,447200,61.6,2.7,!,447200,!,!,54300,447200,12.1,1.8,5400,447200,1.2,0.6,4300,447200,1,*
Cornwall,E06000052,181200,545900,33.2,2.3,271000,545900,49.7,2.4,!,545900,!,!,137700,545900,25.2,2.1,2600,545900,0.5,*,4200,545900,0.8,0.4
Isles of Scilly,E06000053,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North Somerset,E06000024,83100,207400,40.1,2.6,142700,207400,68.8,2.5,!,207400,!,!,11500,207400,5.5,1.2,2100,207400,1,0.5,3800,207400,1.8,0.7
Plymouth,E06000026,131900,260100,50.7,2.2,165500,260100,63.6,2.2,!,260100,!,!,18900,260100,7.3,1.2,4700,260100,1.8,0.6,3700,260100,1.4,0.5
Poole,E06000029,49700,149300,33.2,2.4,103000,149300,69,2.4,!,149300,!,!,11300,149300,7.6,1.4,1600,149300,1,0.5,1400,149300,0.9,0.5
South Gloucestershire,E06000025,102300,272300,37.6,2.6,194500,272300,71.4,2.5,!,272300,!,!,15100,272300,5.5,1.2,1200,272300,0.4,*,4600,272300,1.7,0.7
Swindon,E06000030,106800,217100,49.2,2.5,104400,217100,48.1,2.5,!,217100,!,!,29200,217100,13.5,1.7,2700,217100,1.3,0.6,2400,217100,1.1,0.5
Torbay,E06000027,66700,130400,51.1,2.3,75300,130400,57.7,2.3,!,130400,!,!,6600,130400,5.1,1,1200,130400,0.9,0.4,1100,130400,0.9,0.4
