
"annual population survey"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2019]"
"Analysis   :","variable"
"Confidence :","95% confidence interval of percent figure (+/-)"
"Date       :","Jul 2015-Jun 2016"

"local authority: district / unitary (prior to April 2015)","mnemonic","Numerator","Denominator","Percentage of population who are white UK national","Conf","Numerator","Denominator","Percentage of population who are white not UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority UK national","Conf","Numerator","Denominator","Percentage of population who are ethnic minority not UK national","Conf"
"Rochdale","E08000005",158400,211300,75.0,3.1,9900,211300,4.7,1.5,33400,211300,15.8,2.6,9600,211300,4.5,1.5
"Salford","E08000006",198800,243700,81.6,3.2,17400,243700,7.2,2.1,12100,243700,5.0,1.8,15200,243700,6.3,2.0
"Stockport","E08000007",256800,286400,89.6,2.3,8800,286400,3.1,1.3,15900,286400,5.6,1.7,4900,286400,1.7,1.0
"Tameside","E08000008",185400,220400,84.1,2.7,8400,220400,3.8,1.4,21300,220400,9.7,2.1,5300,220400,2.4,1.1
"Trafford","E08000009",181500,234000,77.5,3.2,10100,234000,4.3,1.5,34600,234000,14.8,2.7,7900,234000,3.4,1.4
"Wigan","E08000010",303800,320500,94.8,1.8,6000,320500,1.9,1.1,5500,320500,1.7,1.1,5100,320500,1.6,1.0
"Burnley","E07000117",71000,86000,82.6,8.3,3700,86000,4.3,"*",11300,86000,13.1,7.4,"!",86000,"!","!"
"Chorley","E07000118",102100,110100,92.7,5.3,4900,110100,4.5,"*",2600,110100,2.4,"*","!",110100,"!","!"
"Fylde","E07000119",71200,75700,94.1,5.1,2300,75700,3.1,"*","!",75700,"!","!","#",75700,1.8,"*"
"Hyndburn","E07000120",64500,79400,81.2,9.6,6300,79400,7.9,6.7,7100,79400,9.0,7.0,"#",79400,1.9,"*"
"Lancaster","E07000121",131500,140000,93.9,4.4,"#",140000,1.4,"*","#",140000,1.7,"*",4200,140000,3.0,"*"
"Pendle","E07000122",72000,89500,80.4,8.7,4200,89500,4.7,"*",7000,89500,7.8,5.9,6400,89500,7.1,5.6
"Preston","E07000123",103600,139500,74.3,8.1,7100,139500,5.1,4.1,22600,139500,16.2,6.8,6200,139500,4.4,3.8
"Ribble Valley","E07000124",55000,57200,96.2,5.7,"!",57200,"!","!",2200,57200,3.8,"*","!",57200,"!","!"
"Rossendale","E07000125",66000,69300,95.2,4.9,"#",69300,2.1,"*","#",69300,2.7,"*","!",69300,"!","!"
"South Ribble","E07000126",104700,108800,96.2,3.9,"!",108800,"!","!",2800,108800,2.6,"*","!",108800,"!","!"
"West Lancashire","E07000127",105300,111400,94.6,4.7,4000,111400,3.6,"*","!",111400,"!","!","!",111400,"!","!"
"Wyre","E07000128",105500,108000,97.7,2.9,"!",108000,"!","!",1800,108000,1.6,"*","!",108000,"!","!"
"Knowsley","E08000011",140900,145700,96.7,1.4,2500,145700,1.7,1.0,1600,145700,1.1,0.8,600,145700,0.4,"*"
"Liverpool","E08000012",401600,468500,85.7,2.6,16500,468500,3.5,1.4,26100,468500,5.6,1.7,24200,468500,5.2,1.7
"Sefton","E08000014",255800,268900,95.1,1.7,7500,268900,2.8,1.3,5200,268900,1.9,1.1,"!",268900,"!","!"
"St. Helens","E08000013",170600,176300,96.8,1.4,3600,176300,2.1,1.1,1400,176300,0.8,0.7,600,176300,0.3,"*"
"Wirral","E08000015",300400,317400,94.6,1.8,6400,317400,2.0,1.1,8300,317400,2.6,1.3,2300,317400,0.7,0.7
"East Riding of Yorkshire","E06000011",319800,332000,96.3,1.5,7400,332000,2.2,1.2,4400,332000,1.3,0.9,"!",332000,"!","!"
"Kingston upon Hull, City of","E06000010",222900,255600,87.2,2.7,14000,255600,5.5,1.9,8600,255600,3.4,1.5,10100,255600,3.9,1.6
"North East Lincolnshire","E06000012",150700,157800,95.5,1.6,3000,157800,1.9,1.0,2500,157800,1.6,0.9,1600,157800,1.0,0.8
"North Lincolnshire","E06000013",154800,168000,92.1,2.2,7200,168000,4.3,1.6,3600,168000,2.1,1.2,2500,168000,1.5,1.0
"York","E06000014",186400,204700,91.0,2.1,7800,204700,3.8,1.4,6600,204700,3.2,1.3,3900,204700,1.9,1.0
"Craven","E07000163",52700,54700,96.3,4.9,2000,54700,3.7,"*","!",54700,"!","!","!",54700,"!","!"
"Hambleton","E07000164",87200,87600,99.5,1.4,"!",87600,"!","!","!",87600,"!","!","!",87600,"!","!"
"Harrogate","E07000165",140300,153200,91.6,4.2,7000,153200,4.5,3.2,2700,153200,1.8,"*",3200,153200,2.1,"*"
"Richmondshire","E07000166",44400,48600,91.4,8.4,"!",48600,"!","!","!",48600,"!","!","#",48600,5.5,"*"
"Ryedale","E07000167",51000,51900,98.4,3.1,"!",51900,"!","!","!",51900,"!","!","!",51900,"!","!"
"Scarborough","E07000168",98200,105900,92.7,5.0,3500,105900,3.3,"*",2100,105900,2.0,"*",2100,105900,2.0,"*"
"Selby","E07000169",81900,85500,95.8,4.1,3200,85500,3.7,"*","!",85500,"!","!","!",85500,"!","!"
"Barnsley","E08000016",224900,238000,94.5,1.8,7000,238000,3.0,1.3,3000,238000,1.2,0.9,3100,238000,1.3,0.9
"Doncaster","E08000017",271600,299400,90.7,2.3,13200,299400,4.4,1.6,9200,299400,3.1,1.4,5400,299400,1.8,1.1
"Rotherham","E08000018",240100,260300,92.2,2.2,2400,260300,0.9,0.8,12400,260300,4.8,1.7,5400,260300,2.1,1.2
"Sheffield","E08000019",458400,564100,81.3,3.2,16000,564100,2.8,1.4,58900,564100,10.4,2.5,30800,564100,5.5,1.9
"Bradford","E08000032",357900,526600,68.0,3.6,25300,526600,4.8,1.6,127100,526600,24.1,3.3,16200,526600,3.1,1.3
"Calderdale","E08000033",184100,207300,88.8,2.5,7600,207300,3.7,1.5,12300,207300,5.9,1.9,3300,207300,1.6,1.0
"Kirklees","E08000034",330600,432500,76.4,3.4,10300,432500,2.4,1.2,74300,432500,17.2,3.0,17300,432500,4.0,1.6
"Leeds","E08000035",627400,770500,81.4,2.8,30300,770500,3.9,1.4,71000,770500,9.2,2.0,41700,770500,5.4,1.6
"Wakefield","E08000036",292600,330400,88.6,2.4,13000,330400,3.9,1.5,20200,330400,6.1,1.8,4600,330400,1.4,0.9
"Derby","E06000015",194500,253100,76.8,3.5,13200,253100,5.2,1.8,30600,253100,12.1,2.7,14800,253100,5.9,1.9
"Leicester","E06000016",152200,337900,45.1,3.7,23900,337900,7.1,1.9,121800,337900,36.1,3.6,39900,337900,11.8,2.4
"Nottingham","E06000018",213700,314500,67.9,3.4,24400,314500,7.8,2.0,49200,314500,15.6,2.7,27200,314500,8.7,2.1
"Rutland","E06000017",33300,35000,95.2,3.1,1300,35000,3.6,2.7,"~",35000,0.5,"*","~",35000,0.7,"*"
"Amber Valley","E07000032",121700,123300,98.7,2.1,"!",123300,"!","!","!",123300,"!","!","!",123300,"!","!"
"Bolsover","E07000033",74200,77200,96.1,4.9,"#",77200,2.7,"*","!",77200,"!","!","!",77200,"!","!"
"Chesterfield","E07000034",96600,102100,94.6,4.3,1300,102100,1.3,"*",3800,102100,3.8,3.7,"!",102100,"!","!"
"Derbyshire Dales","E07000035",68100,69700,97.8,3.6,1600,69700,2.2,"*","!",69700,"!","!","!",69700,"!","!"
"Erewash","E07000036",108100,111700,96.8,3.9,"!",111700,"!","!","#",111700,2.3,"*","!",111700,"!","!"
"High Peak","E07000037",88300,90800,97.3,3.2,"!",90800,"!","!",1200,90800,1.3,"*","!",90800,"!","!"
"North East Derbyshire","E07000038",96300,100100,96.1,3.9,"!",100100,"!","!","#",100100,2.5,"*","#",100100,1.4,"*"
"South Derbyshire","E07000039",95800,98300,97.5,3.1,"!",98300,"!","!","!",98300,"!","!","#",98300,1.5,"*"
